,site,year,month,day,replicate,species,stage,length,comments,entered,checked
1223,fei4,2018,7,17,1,bapi,3,224,,CP,
1224,kis1,2019,8,1,1,stsc,3,224,,ZM,KB
1225,kis2,2019,8,1,2,bapi,3,224,,KB,KB
1226,gog1,2019,8,2,1,bapi,3,224,,TF,ZM
1227,gog1,2019,8,2,1,bapi,3,224,,TF,ZM
1228,koe1,2020,7,23,2,stfl,3,224,,ZM,
1229,hdo,2021,7,8,2,bapi,2,224,,CP,RO
1230,hdo,2021,7,8,2,pegu,3,224,,CP,RO
1231,pba,2021,7,10,2,bapi,3,224,,ZM,RO
1232,pba,2021,7,10,2,bapi,3,224,,ZM,RO
1233,pba,2014,7,10,1,snpr,3,223,,ben,midoli
1234,fei5,2014,8,23,1,bapi,2,223,,carolyn,midoli
1235,pba,2015,7,30,2,stsc,3,223,"IF LARGE AMOUNT OF FRESH FISH IN DIET, MAY BE DUE TO OVERLY CROWDED BUCKET",zach,ben
1236,gog1,2015,8,15,1,bapi,3,223,,zach,ben
1237,koe1,2015,9,13,2,stsc,3,223,,zach,zach
1238,pba,2016,5,9,2,stsc,3,223,,zach,kaia
1239,ssp,2016,7,4,1,cabe,3,223,,kaia,midoli
1240,gog1,2016,7,22,1,bapi,3,223,,gillian,midoli
1241,fan3,2016,7,24,2,bapi,3,223,,kaia,midoli
1242,fei3,2016,7,25,1,bapi,3,223,,kaia,midoli
1243,fei3,2016,7,25,1,stsc,3,223,,kaia,midoli
1244,pba,2016,8,4,1,bapi,2,223,,kaia,midoli
1245,pba,2017,6,11,2,stsc,3,223,,tyrel,
1246,chp,2017,7,10,1,kegr,3,223,,kdb,nap
1247,kis2,2017,7,24,2,bapi,3,223,,jg,kaia
1248,fan3,2017,7,28,1,bapi,3,223,,jg,kaia
1249,gog1,2018,7,14,1,bapi,3,223,,TF,
1250,fei4,2018,7,17,2,bapi,3,223,,CP,
1251,kis2,2020,7,24,1,bapi,2,223,,ZM,CP
1252,gog4,2021,7,13,2,stsc,3,223,,RO,KB
1253,fan1,2021,7,14,1,bapi,2,223,,RO,CP
1254,fan1,2021,7,14,2,bapi,2,223,,RO,CP
1255,hdo,2014,7,3,1,snpr,3,222,,midoli,midoli
1256,ssp,2014,8,14,2,bapi,3,222,,ben,carolyn
1257,fei4,2014,8,15,1,bapi,2,222,,carolyn,m
1258,pba,2015,5,3,2,bapi,2,222,,ben,midoli
1259,koe1,2015,6,1,1,stfl,3,222,,midoli,ben
1260,kis10,2015,6,17,1,bapi,2,222,,,ben
1261,hdo,2015,7,2,1,stsc,3,222,,,ben
1262,fan3,2015,7,5,1,bapi,3,222,,ben,ben
1263,wfb,2015,9,3,2,repe,3,222,,zach,zach
1264,gog1,2016,7,22,1,bapi,3,222,,gillian,midoli
1265,fan3,2016,7,24,2,bapi,3,222,,kaia,midoli
1266,pba,2016,9,18,1,bapi,3,222,,ben,
1267,chp,2017,5,25,1,kegr,3,222,,gsb,kdb
1268,pba,2017,6,11,2,stsc,3,222,,tyrel,
1269,hdo,2017,6,12,1,bapi,3,222,,neha,
1270,fei3,2017,7,22,1,bapi,3,222,,jg,kaia
1271,fei4,2017,7,22,1,bapi,3,222,,jg,kaia
1272,gog1,2017,7,26,1,bapi,3,222,,jg,jg
1273,chp,2018,5,29,2,coro,3,222,,,
1274,gog1,2018,7,14,1,bapi,3,222,,TF,
1275,gog1,2018,7,14,1,bapi,3,222,,TF,
1276,fan3,2018,7,15,2,bapi,3,222,,CP,
1277,ppo,2019,7,31,2,bapi,3,222,,TF,KB
1278,fan1,2019,8,3,1,bapi,3,222,,KB,TF
1279,kis2,2020,7,24,2,bapi,3,222,,ZM,CP
1280,ppo,2021,7,10,1,crgu,3,222,,CP,RO
1281,kis2,2021,7,12,2,bapi,3,222,,RO,KB
1282,fan1,2014,7,27,2,bapi,3,221,,midoli/carolyn,ben
1283,fan3,2014,7,27,1,bapi,3,221,,midoli/carolyn,ben
1284,fei5,2014,8,23,1,bapi,2,221,,carolyn,midoli
1285,koe1,2014,9,7,1,stsc,3,221,,carolyn,midoli
1286,ssp,2014,9,9,1,bapi,2,221,,midoli,carolyn
1287,pba,2015,5,20,2,bapi,2,221,,midoli/zach,zach
1288,ppo,2015,7,29,1,bapi,3,221,,zach,ben
1289,fei13,2015,8,12,2,bapi,3,221,,ben,zach
1290,sni11,2015,8,14,2,bapi,3,221,,midoli,zach
1291,ppo,2016,9,18,2,bapi,3,221,,ben,
1292,hdo,2017,3,31,1,bapi,3,221,,tyrel,tyrel
1293,ppo,2017,6,11,1,bapi,3,221,,tyrel,
1294,fei3,2017,7,22,1,bapi,3,221,,jg,kaia
1295,gog4,2017,7,26,2,stsc,3,221,,jg,jg
1296,gog4,2018,7,14,1,bapi,3,221,,TF,
1297,gog1,2018,7,14,2,bapi,3,221,,TF,
1298,gog1,2018,7,14,1,bapi,3,221,,TF,
1299,fan3,2018,7,15,2,kegr,3,221,,CP,
1300,ppo,2019,7,31,1,bapi,3,221,,TF,KB
1301,pba,2019,7,31,2,bapi,3,221,,TF,KB
1302,gog1,2019,8,2,2,bapi,3,221,,TF,ZM
1303,fan3,2020,7,25,1,bapi,3,221,,AO,CP
1304,kis2,2021,7,12,2,bapi,3,221,,RO,KB
1305,pba,2014,6,12,2,stsc,3,220,,midoli,midoli
1306,hdo,2014,7,3,1,snpr,3,220,,midoli,midoli
1307,kis4,2014,7,12,1,crgu,3,220,,midoli,ben
1308,hdo,2014,7,31,2,snpr,3,220,,midoli,midoli
1309,pba,2014,8,13,2,snpr,3,220,,midoli,carolyn
1310,ppo,2014,8,13,1,bapi,3,220,,midoli,carolyn
1311,fei3,2014,8,15,2,bapi,2,220,,carolyn,m
1312,fei4,2014,8,15,1,bapi,2,220,,carolyn,m
1313,hdo,2014,8,21,1,bapi,2,220,,midoli,b
1314,fei5,2014,8,23,2,crgu,3,220,,carolyn,midoli
1315,pba,2014,9,8,1,bapi,2,220,,carolyn,midoli
1316,sni7,2015,6,10,2,bapi,2,220,,zach,zach
1317,nam1,2015,6,16,2,pegu,2,220,,zach,ben
1318,pba,2015,7,2,2,stfl,3,220,,,ben
1319,pba,2015,7,2,2,stsc,3,220,,,ben
1320,chp,2015,7,3,1,pegu,3,220,,ben,ben
1321,chp,2015,7,3,2,pegu,3,220,,ben,ben
1322,fan3,2015,7,5,1,kegr,3,220,,ben,ben
1323,hdo,2015,7,29,1,bapi,3,220,,zach,ben
1324,pba,2015,7,30,2,stsc,3,220,"IF LARGE AMOUNT OF FRESH FISH IN DIET, MAY BE DUE TO OVERLY CROWDED BUCKET",zach,ben
1325,fei4,2015,8,2,1,bapi,3,220,,,
1326,sni12,2015,8,14,2,bapi,2,220,,midoli,zach
1327,koe1,2015,9,13,1,stsc,3,220,,zach,zach
1328,chp,2016,5,7,1,kegr,3,220,,midoli,kaia
1329,chp,2016,6,5,2,pegu,3,220,,midoli,midoli
1330,pba,2016,6,5,2,stsc,3,220,,midoli,midoli
1331,ssp,2016,6,6,2,pegu,3,220,,midoli,kaia
1332,gog1,2016,7,22,1,bapi,3,220,,gillian,midoli
1333,gog1,2016,7,22,1,bapi,3,220,,gillian,midoli
1334,gog1,2016,7,22,1,stsc,3,220,,gillian,midoli
1335,pba,2016,8,4,1,stsc,3,220,,kaia,midoli
1336,pba,2016,8,4,1,bapi,2,220,,kaia,midoli
1337,hdo,2016,8,4,1,bapi,2,220,,kaia,midoli
1338,wfb,2016,9,17,1,stfl,3,220,,ben,
1339,pba,2016,9,18,2,ling,3,220,,ben,
1340,hdo,2016,9,19,2,ling,3,220,,ang,
1341,hdo,2016,11,15,1,bapi,3,220,,gsb,ben
1342,pba,2017,6,11,2,stsc,3,220,,tyrel,
1343,wfb,2017,6,13,1,stfl,3,220,,neha,
1344,gog1,2017,7,26,1,bapi,3,220,,jg,jg
1345,hdo,2017,8,23,1,stsc,3,220,,kaia,bmm
1346,ssp,2017,8,25,2,stfl,3,220,,ben,bmm
1347,chp,2018,5,29,2,coro,3,220,,,
1348,hab2,2018,7,12,1,stsc,3,220,,op,
1349,ssp,2018,7,12,1,kegr,3,220,,zm,
1350,gog1,2018,7,14,1,bapi,3,220,,TF,
1351,gog1,2018,7,14,1,bapi,3,220,,TF,
1352,fan3,2018,7,15,2,bapi,3,220,,CP,
1353,fan3,2018,7,15,2,bapi,3,220,,CP,
1354,koe1,2018,7,18,1,stfl,3,220,,KB,
1355,koe1,2018,7,18,2,stsc,3,220,,KB,
1356,chp,2018,8,25,1,qbro,3,220,,,
1357,pba,2019,7,31,2,bapi,3,220,,TF,KB
1358,kis1,2019,8,1,1,bapi,3,220,,ZM,KB
1359,gog1,2019,8,2,2,bapi,3,220,,TF,ZM
1360,gog1,2020,8,4,1,bapi,3,220,,AO,CP
1361,gog1,2020,8,4,1,bapi,3,220,,AO,CP
1362,gog1,2020,8,4,2,bapi,3,220,,AO,CP
1363,koe1,2021,7,11,1,stsc,3,220,,CP,RO
1364,gog1,2021,7,13,1,bapi,3,220,,KB,CP
1365,gog4,2021,7,13,2,stsc,3,220,,RO,KB
1366,hab1,2014,6,12,1,bapi,3,219,,carolyn,midoli
1367,kis3,2014,7,12,2,bapi,3,219,,midoli,ben
1368,fan3,2014,7,27,2,bapi,3,219,,midoli/carolyn,ben
1369,fei4,2014,8,15,1,bapi,2,219,,carolyn,m
1370,pba,2015,5,3,1,bapi,2,219,,ben,midoli
1371,ppo,2016,11,15,1,bapi,3,219,,gsb,ben
1372,ssp,2017,5,26,1,bapi,3,219,,kdb,
1373,pba,2017,6,11,2,stsc,3,219,,tyrel,
1374,gog1,2017,7,26,1,stsc,3,219,,jg,jg
1375,gog1,2018,7,14,2,bapi,3,219,,TF,
1376,pba,2019,7,31,2,bapi,3,219,,TF,KB
1377,fan3,2019,8,3,2,bapi,3,219,,KB,TF
1378,kis1,2020,7,24,2,bapi,3,219,,ZM,CP
1379,fan1,2020,7,25,2,bapi,2,219,,AO,CP
1380,gog1,2020,7,26,1,bapi,3,219,,CP,AO
1381,ksi1,2021,7,12,1,bapi,2,219,,ZM,CP
1382,pba,2014,7,10,1,bapi,3,218,,ben,midoli
1383,fei3,2014,8,15,1,bapi,2,218,,carolyn,m
1384,hdo,2015,6,2,1,bapi,3,218,,ben,midoli
1385,kis1,2015,6,17,2,bapi,2,218,,,ben
1386,gog2,2015,7,6,2,bapi,2,218,,zach,ben
1387,kis2,2015,7,7,2,bapi,3,218,,kaia,ben
1388,kis6,2015,7,7,1,bapi,3,218,,kaia,ben
1389,pba,2016,6,5,2,stsc,3,218,,midoli,midoli
1390,pba,2016,9,18,1,bapi,3,218,,ben,
1391,ppo,2016,11,15,1,bapi,3,218,,gsb,ben
1392,kis2,2017,7,24,2,bapi,3,218,,jg,kaia
1393,gog1,2017,7,26,1,bapi,3,218,,jg,jg
1394,fan1,2017,7,28,2,bapi,3,218,,jg,kaia
1395,fei4,2018,7,17,2,coso,3,218,,CP,
1396,fei4,2018,7,17,2,coso,3,218,,CP,
1397,pba,2019,7,31,1,bapi,3,218,,TF,KB
1398,pba,2019,7,31,2,bapi,3,218,,TF,KB
1399,gog1,2019,8,2,2,bapi,3,218,,TF,ZM
1400,fan1,2020,7,25,2,bapi,2,218,,AO,CP
1401,fan1,2020,7,25,1,bapi,3,218,,AO,CP
1402,gog1,2020,7,26,2,bapi,3,218,,CP,AO
1403,fan3,2020,7,25,1,bapi,3,218,,AO,CP
1404,fei3,2014,8,15,2,bapi,2,217,,carolyn,m
1405,hab2,2015,7,12,1,repe,3,217,,zach,zach
1406,hab1,2015,7,13,2,bapi,2,217,,zach,zach
1407,hdo,2015,7,29,1,snpr,3,217,,zach,ben
1408,pba,2017,5,24,2,bapi,3,217,,ang,kdb
1409,sni1,2017,7,23,1,bapi,3,217,,jg,kaia
1410,gog1,2017,7,26,1,bapi,3,217,,jg,jg
1411,hdo,2017,8,23,1,bapi,3,217,,kaia,bmm
1412,gog1,2018,7,14,2,bapi,3,217,,TF,
1413,gog1,2018,7,14,1,bapi,3,217,,TF,
1414,kis2,2020,7,24,2,bapi,3,217,,ZM,CP
1415,fan3,2020,7,25,1,bapi,3,217,,AO,CP
1416,gog1,2020,8,4,1,bapi,3,217,,AO,CP
1417,koe3,2014,7,24,2,dova,3,216,,midoli,ben
1418,fan3,2014,7,27,1,bapi,3,216,,midoli/carolyn,ben
1419,hdo,2014,8,21,1,snpr,3,216,,midoli,b
1420,ppo,2014,9,10,1,bapi,2,216,,midoli,carolyn
1421,pba,2015,7,2,1,stsc,3,216,,,ben
1422,kis2,2015,7,7,2,bapi,3,216,,kaia,ben
1423,koe3,2015,7,8,1,dova,3,216,,ben,ben
1424,hab1,2015,7,13,2,bapi,2,216,,zach,zach
1425,ppo,2016,11,15,1,bapi,3,216,,gsb,ben
1426,hab4,2017,7,20,2,stsc,3,216,,jg,kaia
1427,sni1,2017,7,23,1,bapi,3,216,,jg,kaia
1428,hdo,2018,7,11,1,bapi,3,216,,kb,
1429,fan3,2018,7,15,1,bapi,3,216,,CP,
1430,fan3,2018,7,15,2,bapi,3,216,,CP,
1431,fan3,2018,7,15,2,bapi,3,216,,CP,
1432,fei4,2018,7,17,1,bapi,3,216,,CP,
1433,ppo,2019,7,31,1,bapi,3,216,,TF,KB
1434,pba,2019,7,31,1,stsc,3,216,,TF,KB
1435,pba,2019,7,31,2,bapi,3,216,,TF,KB
1436,pba,2019,7,31,2,bapi,3,216,,TF,KB
1437,gog1,2019,8,2,1,bapi,3,216,,TF,ZM
1438,gog1,2019,8,2,2,bapi,3,216,,TF,ZM
1439,fan3,2019,8,3,1,bapi,3,216,,KB,TF
1440,fan3,2019,8,3,2,bapi,3,216,,KB,TF
1441,hdo,2020,7,19,1,stsc,3,216,,CP,
1442,fan1,2020,7,25,2,bapi,2,216,,AO,CP
1443,fan1,2020,7,25,1,bapi,3,216,,AO,CP
1444,gog1,2020,8,4,1,bapi,3,216,,AO,CP
1445,pba,2014,6,12,2,stfl,3,215,,midoli,midoli
1446,hdo,2014,7,3,1,snpr,3,215,,midoli,midoli
1447,fan1,2014,7,13,2,reil,3,215,,ben,ben
1448,koe1,2014,7,24,1,dova,3,215,,midoli,ben
1449,koe1,2014,7,24,2,dova,3,215,,midoli,ben
1450,gog1,2014,7,26,1,bapi,3,215,,midoli/carolyn,ben
1451,fei4,2014,8,15,1,bapi,2,215,,carolyn,m
1452,rie1,2014,9,11,1,bapi,3,215,,midoli,carolyn
1453,hdo,2015,5,3,1,bapi,2,215,,ben,midoli
1454,kis1,2015,6,17,2,bapi,2,215,,,ben
1455,wfb,2015,7,1,2,bapi,3,215,,,ben
1456,pba,2015,7,2,2,stsc,3,215,,,ben
1457,pba,2015,7,2,2,bapi,3,215,,,ben
1458,fei4,2015,8,2,1,bapi,3,215,,,
1459,hdo,2016,5,7,1,stsc,3,215,,midoli,kaia
1460,pba,2016,5,9,2,stsc,3,215,,zach,kaia
1461,pba,2016,6,5,2,stsc,3,215,,midoli,midoli
1462,gog1,2016,7,22,1,bapi,3,215,,gillian,midoli
1463,gog1,2016,7,22,1,bapi,3,215,,gillian,midoli
1464,ssp,2016,8,2,2,stsc,3,215,,midoli,ben
1465,hdo,2016,8,4,1,bapi,2,215,,kaia,midoli
1466,hdo,2016,8,4,1,bapi,2,215,,kaia,midoli
1467,ppo,2016,9,18,2,bapi,3,215,,ben,
1468,hdo,2017,5,25,1,bapi,3,215,,gsb,kdb
1469,ppo,2017,6,11,1,bapi,3,215,,tyrel,
1470,ssp,2017,6,13,1,coro,3,215,,neha,
1471,ppo,2017,7,9,1,bapi,3,215,,kdb,nap
1472,fei3,2017,7,22,1,snpr,3,215,,jg,kaia
1473,kis2,2017,7,24,2,bapi,3,215,,jg,kaia
1474,kis2,2017,7,24,2,stfl,3,215,,jg,kaia
1475,fan3,2017,7,28,1,bapi,3,215,,jg,kaia
1476,ssp,2017,8,25,2,stfl,3,215,,ben,bmm
1477,hdo,2018,3,19,1,stsc,3,215,,ben,
1478,gog4,2018,7,14,1,bapi,3,215,,TF,
1479,gog1,2018,7,14,2,bapi,3,215,,TF,
1480,gog1,2018,7,14,1,bapi,3,215,,TF,
1481,gog1,2018,7,14,1,bapi,3,215,,TF,
1482,gog1,2018,7,14,1,bapi,3,215,,TF,
1483,gog1,2018,7,14,1,bapi,3,215,,TF,
1484,fan3,2018,7,15,1,bapi,3,215,,CP,
1485,fan3,2018,7,15,2,bapi,3,215,,CP,
1486,fei4,2018,7,17,2,coso,3,215,,CP,
1487,koe1,2018,7,18,2,stsc,3,215,,KB,
1488,hdo,2019,7,29,1,stsc,3,215,,TF,ZM
1489,pba,2019,7,31,1,bapi,3,215,,TF,KB
1490,pba,2019,7,31,2,bapi,3,215,,TF,KB
1491,gog1,2019,8,2,1,bapi,3,215,,TF,ZM
1492,gog1,2019,8,2,2,bapi,3,215,,TF,ZM
1493,gog1,2019,8,2,2,bapi,3,215,,TF,ZM
1494,gog1,2019,8,2,2,bapi,3,215,,TF,ZM
1495,gog1,2019,8,2,2,bapi,3,215,,TF,ZM
1496,fan1,2019,8,3,2,bapi,3,215,,KB,TF
1497,ppo,2020,7,21,1,bapi,3,215,,AO,
1498,koe1,2020,7,23,1,bapi,3,215,,ZM,
1499,koe1,2020,7,23,2,stsc,3,215,,ZM,
1500,gog1,2020,8,4,2,stsc,3,215,,AO,CP
1501,fan3,2021,7,14,2,crgu,3,215,,CP,RO
1502,fan3,2014,7,27,1,bapi,3,214,,midoli/carolyn,ben
1503,fan3,2014,7,27,1,kegr,3,214,,midoli/carolyn,ben
1504,hdo,2015,5,3,1,bapi,2,214,,ben,midoli
1505,gog3,2015,7,6,2,bapi,2,214,,zach,ben
1506,gog1,2015,8,15,1,bapi,3,214,,zach,ben
1507,pba,2016,9,18,2,ling,3,214,,ben,
1508,hdo,2018,3,19,1,bapi,3,214,,ben,
1509,gog4,2018,7,14,1,bapi,3,214,,TF,
1510,fan3,2020,7,25,1,bapi,3,214,,AO,CP
1511,gog1,2020,8,4,1,bapi,3,214,,AO,CP
1512,gog1,2020,8,4,2,whgr,3,214,,AO,CP
1513,gog1,2021,7,13,2,stsc,3,214,,KB,CP
1514,hab2,2014,6,14,3,kegr,3,213,,carolyn,midoli
1515,ssp,2014,7,25,2,bapi,3,213,,midoli,ben
1516,hdo,2015,5,3,1,bapi,2,213,,ben,midoli
1517,kis1,2015,6,17,2,bapi,2,213,,,ben
1518,gog1,2015,8,15,1,bapi,3,213,,zach,ben
1519,ppo,2015,9,2,2,bapi,3,213,,ben,zach
1520,ssp,2016,8,2,1,bapi,3,213,,midoli,ben
1521,ppo,2016,9,18,2,bapi,3,213,,ben,
1522,pba,2017,7,9,2,pasa,3,213,,kdb,nap
1523,hdo,2018,7,11,1,bapi,3,213,,kb,
1524,gog4,2018,7,14,1,bapi,3,213,,TF,
1525,gog1,2018,7,14,1,bapi,3,213,,TF,
1526,fan3,2018,7,15,1,bapi,3,213,,CP,
1527,fan3,2018,7,15,2,bapi,3,213,,CP,
1528,koe1,2018,7,18,2,stsc,3,213,,KB,
1529,hdo,2018,8,23,1,stsc,3,213,,,
1530,pba,2019,7,31,2,bapi,3,213,,TF,KB
1531,fan3,2019,8,3,1,kegr,1,213,,KB,TF
1532,fan3,2019,8,3,1,kegr,1,213,,KB,TF
1533,fan1,2020,7,25,2,bapi,2,213,,AO,CP
1534,fan3,2020,7,25,1,bapi,3,213,,AO,CP
1535,gog1,2020,8,4,1,bapi,3,213,,AO,CP
1536,ppo,2021,7,10,1,stsc,3,213,,CP,RO
1537,pba,2014,6,12,1,bapi,3,212,,midoli,midoli
1538,kis4,2014,7,12,1,kepe,3,212,,midoli,ben
1539,kis6,2014,7,28,1,bapi,2,212,,,ben
1540,fei3,2014,8,15,2,bapi,2,212,,carolyn,m
1541,fei4,2014,8,15,1,bapi,2,212,,carolyn,m
1542,fei5,2014,8,23,1,bapi,2,212,,carolyn,midoli
1543,fei7,2014,8,25,2,bapi,2,212,,ben,carolyn
1544,hdo,2014,9,7,1,stsc,3,212,,carolyn,midoli
1545,hdo,2014,9,7,1,stsc,3,212,,carolyn,midoli
1546,koe1,2014,9,7,1,stsc,3,212,,carolyn,midoli
1547,ppo,2015,5,20,1,bapi,2,212,,midoli/zach,zach
1548,cas1,2015,6,15,2,dova,2,212,,zach,ben
1549,pba,2015,7,2,2,stsc,3,212,,,ben
1550,gog2,2015,7,6,2,bapi,2,212,,zach,ben
1551,wfb,2015,9,3,2,repe,3,212,,zach,zach
1552,pba,2015,9,12,1,bapi,3,212,,zach,zach
1553,ssp,2016,9,17,2,stfl,3,212,,ben,
1554,ssp,2017,6,13,1,stpe,3,212,,neha,
1555,pba,2017,7,9,2,bapi,3,212,,kdb,nap
1556,kis1,2017,7,24,1,bapi,3,212,,jg,kaia
1557,kis2,2017,7,24,2,kegr,3,212,,jg,kaia
1558,ppo,2017,8,23,1,bapi,3,212,,kaia,bmm
1559,chp,2018,5,29,2,coro,3,212,,,
1560,ppo,2018,7,11,2,bapi,3,212,,cp,
1561,kis1,2018,7,13,1,bapi,3,212,,ZM,TF
1562,gog1,2018,7,14,2,bapi,3,212,,TF,
1563,gog1,2018,7,14,1,bapi,3,212,,TF,
1564,fan3,2018,7,15,2,bapi,3,212,,CP,
1565,pba,2018,8,25,2,stsc,3,212,,,
1566,kis1,2019,8,1,1,bapi,3,212,,ZM,KB
1567,fan3,2019,8,3,1,kegr,1,212,,KB,TF
1568,chp,2020,7,19,2,pegu,3,212,,CP,ZM
1569,ppo,2020,7,21,1,bapi,3,212,,AO,
1570,kis1,2020,7,24,1,bapi,2,212,,ZM,CP
1571,kis2,2020,7,24,2,bapi,3,212,,ZM,CP
1572,chp,2021,7,8,2,pegu,3,212,,ZM,RO
1573,gog1,2021,7,13,2,stsc,3,212,,KB,CP
1574,kis5,2014,7,28,1,bapi,3,211,,midoli/carolyn,ben
1575,wfb,2014,9,9,1,stsc,3,211,,midoli,carolyn
1576,ppo,2015,5,20,1,bapi,2,211,,midoli/zach,zach
1577,kis7,2015,5,23,2,snpr,3,211,,,zach
1578,kis8,2015,5,23,2,stsc,3,211,,,zach
1579,koe1,2015,6,1,2,dova,3,211,,midoli,ben
1580,kis1,2015,6,17,2,kegr,2,211,,,ben
1581,hab6,2015,6,19,2,stsc,3,211,,,ben
1582,koe3,2015,7,8,1,dova,3,211,,ben,ben
1583,fei4,2015,8,2,1,bapi,3,211,,,
1584,sni10,2015,8,13,1,bapi,2,211,,ben,zach
1585,ris6,2015,8,17,1,repe,3,211,,midoli,midoli
1586,pba,2015,9,12,2,ling,3,211,,zach,zach
1587,wfb,2016,9,17,1,stsc,3,211,,ben,
1588,ppo,2017,5,24,1,bapi,3,211,,ang,kdb
1589,pba,2017,5,24,2,bapi,3,211,,ang,kdb
1590,ssp,2017,6,13,1,stpe,3,211,,neha,
1591,kis2,2017,7,24,2,bapi,3,211,,jg,kaia
1592,hdo,2017,8,23,1,bapi,3,211,,kaia,bmm
1593,gog1,2018,7,14,2,bapi,3,211,,TF,
1594,gog1,2018,7,14,1,bapi,3,211,,TF,
1595,gog1,2018,7,14,1,kegr,3,211,,TF,
1596,fan3,2018,7,15,2,bapi,3,211,,CP,
1597,pba,2019,7,31,2,bapi,3,211,,TF,KB
1598,pba,2019,7,31,2,stsc,3,211,,TF,KB
1599,fan1,2019,8,3,2,bapi,3,211,,KB,TF
1600,pba,2020,7,21,1,bapi,3,211,,CP,
1601,gog1,2020,7,26,2,bapi,3,211,,CP,AO
1602,pba,2014,6,12,1,grsc,3,210,,midoli,midoli
1603,kis2,2014,6,13,2,bapi,3,210,,carolyn,midoli
1604,kis2,2014,6,13,2,bapi,3,210,,carolyn,midoli
1605,ppo,2014,6,14,1,bapi,3,210,,carolyn,midoli
1606,hab3,2014,6,14,1,bapi,3,210,,carolyn,midoli
1607,koe2,2014,6,15,2,dova,3,210,,carolyn,midoli
1608,hdo,2014,7,3,1,snpr,3,210,,midoli,midoli
1609,hdo,2014,7,3,1,snpr,3,210,,midoli,midoli
1610,fei2,2014,7,11,1,bapi,3,210,,ben,midoli
1611,kis3,2014,7,12,2,bapi,3,210,,midoli,ben
1612,fan1,2014,7,13,1,kegr,3,210,,ben,ben
1613,koe1,2014,7,24,1,dova,3,210,,midoli,ben
1614,koe1,2014,7,24,1,dova,3,210,,midoli,ben
1615,fan3,2014,7,27,2,bapi,3,210,,midoli/carolyn,ben
1616,kis5,2014,7,28,1,bapi,3,210,,midoli/carolyn,ben
1617,pba,2014,8,13,1,bapi,3,210,,midoli,carolyn
1618,pba,2014,8,13,1,bapi,3,210,,midoli,carolyn
1619,ppo,2014,8,13,2,bapi,2,210,,midoli,carolyn
1620,ppo,2014,8,13,2,snpr,3,210,,midoli,carolyn
1621,ssp,2014,8,14,2,coro,3,210,,ben,carolyn
1622,fei3,2014,8,15,1,bapi,2,210,,carolyn,m
1623,fei3,2014,8,15,1,bapi,2,210,,carolyn,m
1624,fei4,2014,8,15,1,bapi,2,210,,carolyn,m
1625,fei7,2014,8,25,2,bapi,2,210,,ben,carolyn
1626,koe1,2014,9,7,1,stsc,3,210,,carolyn,midoli
1627,wfb,2014,9,9,1,stfl,3,210,,midoli,carolyn
1628,ppo,2014,9,10,1,bapi,2,210,,midoli,carolyn
1629,ppo,2014,9,10,1,bapi,2,210,,midoli,carolyn
1630,hdo,2015,5,3,1,bapi,2,210,,ben,midoli
1631,kis8,2015,5,23,2,snpr,3,210,,,zach
1632,koe3,2015,6,1,1,stee,3,210,,midoli,ben
1633,hdo,2015,6,2,1,stsc,2,210,,ben,midoli
1634,cas2,2015,6,15,1,bapi,2,210,,zach,ben
1635,kis10,2015,6,17,1,bapi,2,210,,,ben
1636,kis10,2015,6,17,1,bapi,2,210,,,ben
1637,pba,2015,7,2,2,crgu,3,210,,,ben
1638,kis6,2015,7,7,2,bapi,3,210,,kaia,ben
1639,hab4,2015,7,13,2,stfl,3,210,,zach,zach
1640,fei4,2015,8,2,1,bapi,3,210,,,
1641,fei4,2015,8,2,2,stsc,3,210,,,
1642,gog1,2015,8,15,1,bapi,3,210,,zach,ben
1643,wfb,2015,9,3,2,repe,3,210,,zach,zach
1644,koe1,2015,9,13,1,stsc,3,210,,zach,zach
1645,koe1,2015,9,13,2,stsc,3,210,,zach,zach
1646,chp,2016,5,7,2,pegu,3,210,,midoli,kaia
1647,pba,2016,5,9,2,stsc,3,210,,zach,kaia
1648,pba,2016,5,9,2,stsc,3,210,,zach,kaia
1649,hdo,2016,6,3,1,stsc,3,210,,kaia,midoli
1650,pba,2016,6,5,2,stsc,3,210,,midoli,midoli
1651,wfb,2016,6,6,1,stsc,3,210,,midoli,kaia
1652,gog1,2016,7,22,1,bapi,3,210,,gillian,midoli
1653,gog1,2016,7,22,1,crgu,3,210,,gillian,midoli
1654,fan3,2016,7,24,2,bapi,3,210,,kaia,midoli
1655,pba,2016,8,4,1,bapi,2,210,,kaia,midoli
1656,pba,2016,8,4,1,crgu,3,210,,kaia,midoli
1657,hdo,2016,9,19,2,stsc,3,210,,ang,
1658,hdo,2016,11,15,1,bapi,3,210,,gsb,ben
1659,chp,2017,5,25,1,kegr,3,210,,gsb,kdb
1660,pba,2017,6,11,2,stsc,3,210,,tyrel,
1661,pba,2017,6,11,2,stsc,3,210,,tyrel,
1662,wfb,2017,6,13,1,stfl,3,210,,neha,
1663,ssp,2017,6,13,1,stpe,3,210,,neha,
1664,chp,2017,7,10,1,kegr,3,210,,kdb,nap
1665,chp,2017,7,10,1,kegr,3,210,,kdb,nap
1666,kis1,2017,7,24,1,bapi,3,210,,jg,kaia
1667,ssp,2018,7,12,1,cqbr,1,210,,zm,
1668,gog4,2018,7,14,2,rosc,3,210,,TF,
